Support,Confidence,Coverage,Strength,Lift,Leverage,Antecedent,Consequent
continuous,continuous,continuous,continuous,continuous,continuous,string,string
,,,,,,meta,meta
0.561,1.0,0.561,1.126,1.583,0.207,"onehot_saladefeculents=0, onehot_viande=1, onehot_cremedessert=0","onehot_charcuterie=0, onehot_dessertgourmand=0"
0.561,0.68,0.825,0.766,1.077,0.04,"onehot_viande=1, onehot_cremedessert=0","onehot_saladefeculents=0, onehot_charcuterie=0, onehot_dessertgourmand=0"
0.561,1.0,0.561,1.273,1.399,0.16,"onehot_charcuterie=0, onehot_viande=1, onehot_dessertgourmand=0, onehot_cremedessert=0",onehot_saladefeculents=0
0.561,1.0,0.561,1.601,1.113,0.057,"onehot_saladefeculents=0, onehot_viande=1, onehot_dessertgourmand=0, onehot_cremedessert=0",onehot_charcuterie=0
0.561,1.0,0.561,1.126,1.583,0.207,"onehot_viande=1, onehot_dessertgourmand=0, onehot_cremedessert=0","onehot_saladefeculents=0, onehot_charcuterie=0"
0.543,0.827,0.656,1.243,1.014,0.007,"onehot_viande=1, onehot_poisson=0",onehot_fromage=0
0.543,0.683,0.794,0.934,0.921,-0.047,"onehot_fromage=0, onehot_viande=1",onehot_poisson=0
0.543,0.594,0.914,0.617,1.052,0.027,onehot_viande=1,"onehot_fromage=0, onehot_poisson=0"
0.543,0.683,0.794,0.934,0.921,-0.047,"onehot_viande=1, onehot_vege=0",onehot_poisson=0
0.543,0.827,0.656,1.243,1.014,0.007,"onehot_viande=1, onehot_poisson=0",onehot_vege=0
0.543,0.594,0.914,0.617,1.052,0.027,onehot_viande=1,"onehot_poisson=0, onehot_vege=0"
0.543,1.0,0.543,1.503,1.226,0.1,"onehot_viande=1, onehot_poisson=0, onehot_vege=0",onehot_fromage=0
0.543,0.683,0.794,0.934,0.921,-0.047,"onehot_fromage=0, onehot_viande=1, onehot_vege=0",onehot_poisson=0
0.543,0.683,0.794,0.71,1.211,0.095,"onehot_viande=1, onehot_vege=0","onehot_fromage=0, onehot_poisson=0"
