;Horodateur;Numéro de formulaire ;PLAT_1;PLAT_2;PLAT_3;ENTREE_1;ENTREE_2;DESSERT_1;DESSERT_2;DESSERT_3
76; 12:57:54  ;8H6H;feuilletésaumonoseille;torsades;;pasdentrée;;yaourtauxfruits;;
77; 12:58:36  ;0P2F;feuilletésaumonoseille;torsades;;pasdentrée;;yaourtauxfruits;;
78; 12:58:41  ;1J4B;feuilletésaumonoseille;torsades;;pasdentrée;;yaourtauxfruits;;
79; 12:59:10  ;7F5N;kebab;frites;;pasdentrée;;pasdedessert;;
80; 12:59:24  ;1N9S;risottocourgettes;;;pasdentrée;;yaourtauxfruits;fromageblancfruitsrouges;
81; 12:59:32  ;2B3R;risottocourgettes;;;coeursdepalmiers;;mimolette;fromageblancfruitsrouges;
82; 13:00:08  ;2A2L;boeufbourguignon;torsades;poeléebrocolis;pasdentrée;;yaourtauxfruits;;
83; 13:013:06  ;7S9S;boeufbourguignon;torsades;;oeufmimosa;artichauts;yaourtnaturesucré;;
84; 13:013:35  ;5C7B;risottocourgettes;;;saladelentilles;;fromageblancfruitsrouges;orange;
85; 13:013:50  ;8M9W;feuilletésaumonoseille;torsades;poeléebrocolis;champignons;coeursdepalmiers;yaourtauxfruits;;
86; 13:013:59  ;5B2Z;boeufbourguignon;torsades;poeléebrocolis;pasdentrée;;fromageblancfruitsrouges;;
87; 13:02:29  ;2G2S;feuilletésaumonoseille;torsades;poeléebrocolis;pasdentrée;;yaourtnaturesucré;;
88; 13:02:30  ;0O5Q;boeufbourguignon;torsades;poeléebrocolis;saladelentilles;;yaourtauxfruits;;
89; 13:02:43  ;4D4V;boeufbourguignon;torsades;poeléebrocolis;oeufmimosa;salami;orange;;
90; 13:02:52  ;9J6M;boeufbourguignon;torsades;poeléebrocolis;oeufmimosa;;fromageblancfruitsrouges;;
91; 13:03:10  ;4T1L;feuilletésaumonoseille;torsades;poeléebrocolis;pasdentrée;;yaourtauxfruits;fromageblancfruitsrouges;
92; 13:03:15  ;5Y6U;risottocourgettes;;;tomates;;yaourtauxfruits;kiwi;
93; 13:03:29  ;3W6I;boeufbourguignon;torsades;poeléebrocolis;pasdentrée;;faissellenature;fromageblancfruitsrouges;
94; 13:04:06  ;1W8I;boeufbourguignon;torsades;;oeufmimosa;;yaourtauxfruits;banane;
95; 13:04:26  ;8U4S;pizzaraclette;;;pasdentrée;;banane;;
96; 13:04:43  ;6L3J;risottocourgettes;;;pasdentrée;;yaourtauxfruits;fromageblancfruitsrouges;pommegolden
97; 13:05:02  ;0G5M;feuilletésaumonoseille;torsades;;pasdentrée;;yaourtauxfruits;fromageblancfruitsrouges;
98; 13:05:12  ;6C9H;feuilletésaumonoseille;torsades;poeléebrocolis;pasdentrée;;fromageblancfruitsrouges;pommegolden;
99; 13:05:43  ;5I3E;boeufbourguignon;torsades;poeléebrocolis;artichauts;;yaourtauxfruits;;
100; 13:05:56  ;7U7X;feuilletésaumonoseille;torsades;poeléebrocolis;chouxblancàlajaponaise;;fromageblancfruitsrouges;kiwi;
101; 13:06:08  ;2H8Q;boeufbourguignon;torsades;poeléebrocolis;saladelentilles;;fromageblancfruitsrouges;pommegolden;
102; 13:06:32  ;5T1N;boeufbourguignon;torsades;poeléebrocolis;salami;;faissellenature;fromageblancfruitsrouges;
103; 13:08:14  ;9P8X;boeufbourguignon;torsades;poeléebrocolis;saladelentilles;;fromageblancfruitsrouges;pommegolden;
104; 13:08:22  ;1M5C;feuilletésaumonoseille;torsades;poeléebrocolis;saladelentilles;;yaourtauxfruits;;
105; 13:08:33  ;9A6W;pizzamerguezpoivrons;;;pasdentrée;;pasdedessert;;
106; 13:08:58  ;1T2N;feuilletésaumonoseille;torsades;poeléebrocolis;champignons;;faissellenature;pommegolden;
107; 13:09:04  ;9Y6D;risottocourgettes;;;pasdentrée;;fromageblancfruitsrouges;orange;
108; 13:09:21  ;2W9X;boeufbourguignon;torsades;poeléebrocolis;chouxblancàlajaponaise;artichauts;fromageblancfruitsrouges;;
109; 13:09:38  ;6W8Z;risottocourgettes;;;saladelentilles;;fromageblancfruitsrouges;orange;
110; 13:09:50  ;2E8L;feuilletésaumonoseille;torsades;poeléebrocolis;chouxblancàlajaponaise;;faissellenature;;
111; 13:113:24  ;2U4F;boeufbourguignon;torsades;poeléebrocolis;saladelentilles;;fromageblancfruitsrouges;orange;
112; 13:113:45  ;0S0Q;boeufbourguignon;torsades;poeléebrocolis;saladelentilles;;fromageblancfruitsrouges;pommegolden;
113; 13:12:05  ;0R4C;boeufbourguignon;torsades;poeléebrocolis;saladelentilles;;yaourtnaturesucré;fromageblancfruitsrouges;
