Horodateur;Numero questionnaire;Plat 1;Plat 2;garniture;Plat 3;Hors etudiant;Autre ;Heure départ;Genre;Regime;Fréquentation;Faim;Connaissances;Influence;Influence aspect;Quantité;Equilibré;Aspect;Convive 1;Convive 2;Convive 3;Convive 4;Convive 5;Convive 6;Convive 7;Convive 8;
12:36:50 PM;A61;;Escalope de porc;Les 2;fromage;;;12:48;Femme;oui;>3;7;non;non;oui;8;7;7;A62;A60;;;;;;;
12:37:37 PM;A56;;tarte saumon;pomme de terre;yaourt;;;12:59;Femme;oui;>3;6;oui;non;oui;7;7;6;A57;;;;;;;;
12:38:01 PM;A50;;gnocchis pesto (vege);pomme de terre;peche au sirop;;;13:11;Homme;non;>3;6;oui;non;oui;5;5;5;A47;A49;;;;;;;
12:38:30 PM;A49;;Escalope de porc;pomme de terre;tarte chocolat;;;13:12;Homme;non;>3;7;non;oui;non;5;5;5;A50;A48;A47;;;;;;
12:38:55 PM;A55;;Escalope de porc;Les 2;yaourt;;;;;;;;;;;;;;;;;;;;;;
12:39:05 PM;A52;;;;;Grillades;;;;;;;;;;;;;;;;;;;;;
12:39:34 PM;A53;;Escalope de porc;Les 2;fruit;;;;;;;;;;;;;;;;;;;;;;
12:39:56 PM;A42;;Escalope de porc;pomme de terre;yaourt;;;13:13;Homme;non;1à3;7;non;oui;oui;8;0;8;A41;A40;;;;;;;
12:40:36 PM;A45;betteraves pommes echalotes;gnocchis pesto (vege);;yaourt;;;13:09;Femme;oui;<1;5;non;non;oui;6;6;6;A46;A32;A33;A34;A43;;;;
12:40:41 PM;A41;;Escalope de porc;pomme de terre;yaourt;;;13:13;Homme;non;>3;7;NSPP;oui;non;3;2;4;A40;A42;;;;;;;
12:41:01 PM;A37;;;Les 2;fromage;;;;;;;;;;;;;;;;;;;;;;
12:41:16 PM;A39;;gnocchis pesto (vege);;yaourt;;;13:30;Femme;non;>3;7;oui;non;oui;7;7;7;A29;A38;;;;;;;
12:41:33 PM;A38;salade pomme de terre;Escalope de porc;;fruit;;;13:30;Femme;non;>3;5;non;non;oui;7;9;8;A29;A39;;;;;;;
12:41:46 PM;A32;;Escalope de porc;pomme de terre;fruit;;;13:10;Homme;non;>3;9;oui;non;oui;4;4;3;A33;A34;A35;A43;A45;A46;;;
12:41:51 PM;A43;betteraves pommes echalotes;Escalope de porc;pomme de terre;yaourt;;;13:10;Homme;non;1à3;8;oui;non;oui;6;10;8;A44;A45;A46;A33;A32;A34;;;
12:42:02 PM;A34;;Escalope de porc;pomme de terre;yaourt;;;13:09;Femme;non;1à3;7;oui;non;oui;7;9;7;A43;A45;A46;A32;A33;A35;;;
12:42:24 PM;A33;;Escalope de porc;Les 2;fromage;;;13:10;NSPP;non;>3;6;oui;oui;oui;0;8;7;A32;A33;A34;A43;A46;A45;;;
12:42:42 PM;A35;;tarte saumon;pomme de terre;;;;;;;;;;;;;;;;;;;;;;;
12:43:03 PM;A31;;tarte saumon;pomme de terre;;;;13:40;Homme;non;NSPP;5;oui;oui;oui;6;4;4;NSPP;;;;;;;;
12:43:29 PM;A29;;tarte saumon;Les 2;peche au sirop;;;13:30;Femme;NSPP;>3;6;non;non;oui;7;8;3;A38;A39;;;;;;;
12:43:52 PM;A28;;gnocchis pesto (vege);;yaourt;;;13:41;Homme;non;>3;5;non;non;oui;5;3;6;A26;A27;A31;A30;;;;;
12:44:20 PM;A27;;gnocchis pesto (vege);;tarte chocolat;;;13:40:00;Homme;oui;1à3;6;oui;oui;non;8;6;6;A26;A31;A28;A30;;;;;
12:44:43 PM;A60;;gnocchis pesto (vege);;fruit;;;12:48;Homme;non;>3;9;oui;non;non;7;8;3;A61;A62;;;;;;;
12:44:57 PM;A30;;gnocchis pesto (vege);;yaourt;;;13:39:00;Homme;non;1à3;8;oui;non;oui;7;7;8;A31;A27;A28;A26;;;;;
12:45:08 PM;A26;;tarte saumon;poelee meridionale;tarte chocolat;;;13:39:00;Homme;non;>3;8;oui;oui;oui;2;2;5;A30;A25;A31;A24;;;;;
12:45:16 PM;A51;;;;yaourt;Grillades;Burger et frites;13:26;Homme;non;<1;6;non;non;oui;6;5;6;;;;;;;;;
12:45:22 PM;A48;;;;;Grillades;;13:11;Homme;non;1à3;6;oui;non;oui;5;7;8;A47;A46;A49;;;;;;
12:45:44 PM;A15;;gnocchis pesto (vege);;tarte chocolat;;;;;;;;;;;;;;;;;;;;;;
12:45:45 PM;A47;;;;;Grillades;;13:11;Homme;non;1à3;7;oui;non;oui;3;7;7;A48;A50;A49;;;;;;
12:46:04 PM;A54;rien;Escalope de porc;pomme de terre;tarte chocolat;;;;;;;;;;;;;;;;;;;;;;
12:46:47 PM;A24;;tarte saumon;pomme de terre;tarte chocolat;;;;;;;;;;;;;;;;;;;;;;
12:48:52 PM;A23;;;;;Grillades;;13:15;Femme;non;<1;7;oui;non;oui;8;8;9;NSPP;;;;;;;;
12:49:10 PM;A22;;Escalope de porc;pomme de terre;yaourt;;;13:24;Homme;non;>3;3;oui;non;7;7;7;7;A17;A18;A19;A20;A21;A13;A14;A15;
12:49:36 PM;A19;rien;;pomme de terre;yaourt;;;13:26;Homme;non;>3;4;oui;non;non;9;6;5;A22;A17;A21;A15;A18;A14;A16;A20;A13
12:49:45 PM;A17;;Escalope de porc;pomme de terre;yaourt;;;13:23;Homme;non;>3;7;oui;non;oui;6;2;7;A22;A21;A19;A18;A14;A15;A16;A20;
12:50:24 PM;A21;rien;Escalope de porc;Les 2;yaourt;;3 yaourts ;13:26;Homme;non;>3;7;oui;non;oui;2;2;8;A14;A22;A19;A18;A15;A17;A20;A16;
12:50:48 PM;A18;;gnocchis pesto (vege);pomme de terre;tarte chocolat;;;13:24;Homme;non;>3;9;oui;non;oui;7;4;7;A13;A14;A15;A16;A17;A19;A20;A21;
12:50:52 PM;A20;;Escalope de porc;pomme de terre;;;;13:26;Homme;non;>3;4;oui;non;oui;7;7;8;A13;A14;A15;A16;A17;A18;A19;A21;A22
12:51:05 PM;A15;rien;gnocchis pesto (vege);rien;yaourt;;;13:26;Homme;non;>3;4;oui;oui;oui;7;3;6;A14;A16;A21;;;;;;
12:51:23 PM;A12;;gnocchis pesto (vege);;fruit;;;13:11;Homme;non;<1;7;non;oui;oui;7;3;4;;;;;;;;;
12:52:10 PM;A14;rien;Escalope de porc;Les 2;yaourt;;;13:25;Homme;non;>3;8;oui;non;non;6;6;3;A16;A13;A18;A20;A17;A21;A22;;
12:53:03 PM;A16;rien;Escalope de porc;Les 2;fruit;;;13:26;Homme;non;>3;7;oui;non;non;0;2;8;A13;A14;A15;A17;A18;A19;A20;A21;A22
12:53:28 PM;A09;rien;tarte saumon;pomme de terre;fruit;;;13:26;NB;non;1à3;6;oui;non;non;5;7;5;A95;;;;;;;;
12:53:46 PM;A13;;Escalope de porc;pomme de terre;fruit;;;13:26;Homme;non;>3;6;oui;oui;oui;2;6;9;A14;A15;A16;A17;A18;A19;A20;A21;A22
12:54:00 PM;A06;rien;tarte saumon;Les 2;yaourt;;;13:21;Homme;non;>3;7;oui;non;non;9;6;5;A04;A07;A08;;;;;;
12:54:02 PM;A03;salade pomme de terre;gnocchis pesto (vege);;yaourt;;;13:33;Homme;non;>3;7;oui;oui;oui;6;6;6;A01;A02;;;;;;;
12:54:31 PM;A07;;Escalope de porc;pomme de terre;;;;13:22;Homme;non;>3;9;oui;non;oui;8;3;8;A06;A08;A04;;;;;;
12:54:51 PM;A02;;gnocchis pesto (vege);;fruit;;;13:33;Femme;oui;>3;3;oui;non;oui;8;10;6;A01;A03;;;;;;;
12:55:22 PM;A04;rien;Escalope de porc;pomme de terre;tarte chocolat;;;13:22;Homme;non;>3;7;oui;non;non;8;9;4;A06;A07;A08;;;;;;
12:55:40 PM;A01;;Escalope de porc;pomme de terre;;;;13:33;Homme;non;>3;7;oui;non;non;8;8;5;A03;A03;;;;;;;
12:57:05 PM;A10;;;;;Grillades;;;;;;;;;;;;;;;;;;;;;
12:57:26 PM;A11;;;;;Grillades;;;;;;;;;;;;;;;;;;;;;
