Unnamed: 0,Numéro de formulaire,ENTREE_1,ENTREE_2,ENTREE_3,PLAT_1,PLAT_2,PLAT_3,DESSERT_1,DESSERT_2,DESSERT_3,Horodateur,Genre,Régime,Fréquentation,Faim,Connaissance entourage,Influence entourage,Influence aspect,Quantité,Equilibre,Aspect,Attente,Convives,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
38,A25,saucisson,,,chipo,semoule,,fruit,,,12:29,Femme,non,>3,6.0,oui,non,oui,5.0,5,5.0,10.0,A24,,,,,,,
39,A28,,,,chipo,semoule,,fruit,,,14:24,Femme,non,<1,6.0,oui,non,oui,0.0,5,7.0,5.0,A26,A27,A29,,,,,
40,A30,saladeriz,,,cabillaud,semoule,,,,,,,,,,,,,,,,,,,,,,,,
41,A26,,,,chipo,semoule,,yaourt,,,12:24,Femme,non,<1,5.0,oui,non,oui,2.0,7,7.0,3.0,A27,A28,A29,,,,,
42,A27,saucisson,,,chipo,semoule,,yaourt,,,12:24,Homme,non,<1,7.0,oui,oui,oui,9.0,6,4.0,10.0,A26,A28,A29,,,,,
43,A35,,,,lasagnesvg,,,moussechocolat,,,,,,,,,,,,,,,,,,,,,,
44,A34,,,,chipo,semoule,,fruit,,,12:35,Homme,non,>3,9.0,oui,non,oui,7.0,3,8.0,5.0,A35,A37,A36,,,,,
45,A33,carottes,,,cabillaud,semoule,,yaourt,,,12:44,Femme,non,>3,7.0,oui,non,oui,5.0,8,9.0,6.0,A32,,,,,,,
46,A32,carottes,,,cabillaud,semoule,,emmental,,,12:44,Femme,oui,>3,8.0,non,non,oui,9.0,8,6.0,7.0,A33,,,,,,,
47,A40,,,,cabillaud,semoule,,,,,12:28,Homme,oui,>3,5.0,non,non,oui,8.0,6,7.0,5.0,,,,,,,,
48,A42,saucisson,,,chipo,semoule,,,,,12:40,Homme,non,<1,8.0,oui,non,non,7.0,7,3.0,8.0,,,,,,,,
49,A41,saucisson,,,lasagnesvg,,,moussechocolat,,,,,,,,,,,,,,,,,,,,,,
50,A51,,,,chipo,semoule,,,,,13:00,Femme,non,>3,8.0,oui,non,oui,5.0,5,5.0,5.0,B47,B45,B46,B48,,,,
51,A46,saladeriz,,,chipo,semoule,,,,,12:27,Homme,non,>3,6.0,non,non,oui,8.0,4,7.0,10.0,,,,,,,,
52,A55,carottes,,,lasagnesvg,,,chaource,,,12:32,Homme,oui,>3,8.0,non,non,non,8.0,10,6.0,7.0,,,,,,,,
53,A74,saladeriz,,,cabillaud,semoule,,moussechocolat,,,12:53,Femme,oui,1à3,6.0,oui,oui,oui,5.0,6,6.0,7.0,A75,,,,,,,
54,A59,,,,lasagnesvg,,,yaourt,,,12:38,NB,oui,>3,3.0,non,non,oui,6.0,4,7.0,1.0,A59,C01,C02,A57,,,,
55,A49,endives,,,lasagnesvg,,,yaourt,,,13:22,Homme,non,>3,6.0,non,non,non,2.0,5,5.0,4.0,,,,,,,,
56,A73,,,,cabillaud,semoule,,fruit,,,13:04,Homme,non,1à3,7.0,non,non,non,6.0,8,5.0,0.0,B76,B74,B75,,,,,
57,A76,sardines,,,cabillaud,semoule,,moussechocolat,,,12:41,Homme,oui,>3,6.0,non,non,oui,7.0,6,5.0,5.0,,,,,,,,
58,A78,,,,chipo,semoule,,fruit,,,,,,,,,,,,,,,,,,,,,,
59,B28,carottes,,,lasagnesvg,,,donut,,,12:53,Homme,non,>3,6.0,oui,non,non,4.0,4,4.0,7.0,B20,B16,B17,B27,B32,B18,B19,
60,B15,carottes,,,lasagnesvg,,,fruit,,,12:58,Homme,non,>3,7.0,oui,non,oui,3.0,10,5.0,7.0,B11,B12,B13,B14,B63,B64,B65,
61,B40,carottes,,,cabillaud,semoule,,donut,,,12:51,Homme,oui,>3,8.0,non,oui,oui,10.0,8,8.0,10.0,,,,,,,,
62,B12,carottes,,,chipo,semoule,,yaourt,,,12:58,Femme,non,>3,8.0,oui,non,oui,8.0,10,10.0,8.0,B15,B12,B13,B14,B63,B64,B65,
63,B18,,,,cabillaud,semoule,,fruit,,,12:53,Homme,non,>3,7.0,oui,oui,non,3.0,7,6.0,2.0,B20,B17,B16,B27,B32,B28,B19,
64,B34,carottes,,,chipo,semoule,,donut,,,13:11,Femme,non,>3,7.0,oui,non,oui,5.0,8,8.0,5.0,B33,,,,,,,
65,B45,saladeriz,,,chipo,semoule,,fruit,,,13:08,Femme,non,>3,6.0,oui,non,oui,6.0,7,7.0,2.0,A51,B47,B48,B46,,,,
66,B50,saucisson,,,cabillaud,semoule,,yaourt,,,12:40,Homme,non,,7.0,non,non,oui,1.0,7,10.0,0.0,,,,,,,,
67,B51,,,,chipo,semoule,,donut,,,13:02,Homme,non,1à3,9.0,oui,non,oui,9.0,7,8.0,3.0,B53,B54,B52,,,,,
68,B53,saladesoja,,,lasagnesvg,,,donut,,,13:03,Homme,non,>3,7.0,oui,non,non,5.0,7,3.0,3.0,B51,B52,B54,,,,,
69,B56,,,,lasagnesvg,,,chaource,,,12:59,Homme,oui,>3,4.0,non,non,oui,8.0,7,8.0,6.0,,,,,,,,
70,B70,carottes,,,chipo,semoule,,fruit,,,,,,,,,,,,,,,,,,,,,,
71,A62,saladeriz,,,cabillaud,semoule,,fruit,,,12:41,Homme,non,1à3,4.0,non,non,non,9.0,9,5.0,5.0,,,,,,,,
72,B60,saladeriz,,,chipo,semoule,,crèmedessert,,,,,,,,,,,,,,,,,,,,,,
73,A80,saucisson,,,lasagnesvg,,,moussechocolat,,,12:46,Homme,non,>3,5.0,oui,non,oui,7.0,7,5.0,3.0,A81,A78,A77,B01,,,,
74,B81,,,,chipo,semoule,,donut,,,13:15,Homme,non,>3,5.0,oui,non,non,5.0,7,2.0,2.0,B82,B83,,,,,,
75,A77,,,,chipo,semoule,,chaource,,,12:46,Homme,non,>3,2.0,oui,oui,oui,2.0,6,8.0,9.0,A82,A81,A80,A21,A22,A78,B01,A79
76,B04,saladesoja,,,chipo,semoule,,moussechocolat,,,12:45,Femme,non,,7.0,oui,oui,oui,8.0,7,8.0,10.0,B02,B03,B05,,,,,
77,A67,,,,lasagnesvg,,,fruit,,,12:37,Femme,non,>3,6.0,oui,non,oui,3.0,9,8.0,,A09,A10,A11,,,,,
78,A79,,,,lasagnesvg,,,emmental,,,,,,,,,,,,,,,,,,,,,,
79,B02,carottes,,,chipo,semoule,,donut,,,12:45,Femme,non,,10.0,oui,non,oui,4.0,10,5.0,3.0,B03,B01,B05,,,,,
80,A69,,,,lasagnesvg,,,yaourt,,,,,,,,,,,,,,,,,,,,,,
