Unnamed: 0,Horodateur,Numéro de formulaire,ENTREE_1,ENTREE_2,ENTREE_3,PLAT_1,PLAT_2,PLAT_3,DESSERT_1,DESSERT_2,DESSERT_3,Heure départ,Genre,Regime,Fréquentation,Faim,Connaissances,Influence,Influence aspect,Quantité,Equilibré,Aspect,Convive 1,Convive 2,Convive 3,Convive 4,Convive 5,Convive 6,Convive 7,Convive 8,Unnamed: 27
73,12:38:55 PM,A55,,,,escalopedeporc,pommedeterre,poeleemeridionale,yaourt,,,,,,,,,,,,,,,,,,,,,,
74,12:39:05 PM,A52,,,,grillades,,,,,,,,,,,,,,,,,,,,,,,,,
75,12:39:34 PM,A53,,,,escalopedeporc,pommedeterre,poeleemeridionale,fruit,,,,,,,,,,,,,,,,,,,,,,
76,12:39:56 PM,A42,,,,escalopedeporc,pommedeterre,,yaourt,,,13:13,Homme,non,1à3,7.0,non,oui,oui,8.0,0.0,8.0,A41,A40,,,,,,,
77,12:40:36 PM,A45,betteravespommesechalotes,,,gnocchispestovege,,,yaourt,,,13:09,Femme,oui,<1,5.0,non,non,oui,6.0,6.0,6.0,A46,A32,A33,A34,A43,,,,
78,12:40:41 PM,A41,,,,escalopedeporc,pommedeterre,,yaourt,,,13:13,Homme,non,>3,7.0,,oui,non,3.0,2.0,4.0,A40,A42,,,,,,,
79,12:41:16 PM,A39,,,,gnocchispestovege,,,yaourt,,,13:30,Femme,non,>3,7.0,oui,non,oui,7.0,7.0,7.0,A29,A38,,,,,,,
80,12:41:33 PM,A38,saladepommedeterre,,,escalopedeporc,,,fruit,,,13:30,Femme,non,>3,5.0,non,non,oui,7.0,9.0,8.0,A29,A39,,,,,,,
81,12:41:46 PM,A32,,,,escalopedeporc,pommedeterre,,fruit,,,13:10,Homme,non,>3,9.0,oui,non,oui,4.0,4.0,3.0,A33,A34,A35,A43,A45,A46,,,
82,12:41:51 PM,A43,betteravespommesechalotes,,,escalopedeporc,pommedeterre,,yaourt,,,13:10,Homme,non,1à3,8.0,oui,non,oui,6.0,10.0,8.0,A44,A45,A46,A33,A32,A34,,,
83,12:42:02 PM,A34,,,,escalopedeporc,pommedeterre,,yaourt,,,13:09,Femme,non,1à3,7.0,oui,non,oui,7.0,9.0,7.0,A43,A45,A46,A32,A33,A35,,,
84,12:42:24 PM,A33,,,,escalopedeporc,pommedeterre,poeleemeridionale,fromage,,,13:10,,non,>3,6.0,oui,oui,oui,0.0,8.0,7.0,A32,A33,A34,A43,A46,A45,,,
85,12:42:42 PM,A35,,,,tartesaumon,pommedeterre,,,,,,,,,,,,,,,,,,,,,,,,
86,12:43:03 PM,A31,,,,tartesaumon,pommedeterre,,,,,13:40,Homme,non,,5.0,oui,oui,oui,6.0,4.0,4.0,,,,,,,,,
87,12:43:29 PM,A29,,,,tartesaumon,pommedeterre,poeleemeridionale,pecheausirop,,,13:30,Femme,,>3,6.0,non,non,oui,7.0,8.0,3.0,A38,A39,,,,,,,
88,12:43:52 PM,A28,,,,gnocchispestovege,,,yaourt,,,13:41,Homme,non,>3,5.0,non,non,oui,5.0,3.0,6.0,A26,A27,A31,A30,,,,,
89,12:44:20 PM,A27,,,,gnocchispestovege,,,tartechocolat,,,13:40:00,Homme,oui,1à3,6.0,oui,oui,non,8.0,6.0,6.0,A26,A31,A28,A30,,,,,
90,12:44:43 PM,A60,,,,gnocchispestovege,,,fruit,,,12:48,Homme,non,>3,9.0,oui,non,non,7.0,8.0,3.0,A61,A62,,,,,,,
91,12:44:57 PM,A30,,,,gnocchispestovege,,,yaourt,,,13:39:00,Homme,non,1à3,8.0,oui,non,oui,7.0,7.0,8.0,A31,A27,A28,A26,,,,,
92,12:45:08 PM,A26,,,,tartesaumon,poeleemeridionale,,tartechocolat,,,13:39:00,Homme,non,>3,8.0,oui,oui,oui,2.0,2.0,5.0,A30,A25,A31,A24,,,,,
93,12:45:16 PM,A51,,,,burger,frites,,yaourt,,,13:26,Homme,non,<1,6.0,non,non,oui,6.0,5.0,6.0,,,,,,,,,
94,12:45:22 PM,A48,,,,grillades,,,,,,13:11,Homme,non,1à3,6.0,oui,non,oui,5.0,7.0,8.0,A47,A46,A49,,,,,,
95,12:45:44 PM,A15,,,,gnocchispestovege,,,tartechocolat,,,,,,,,,,,,,,,,,,,,,,
96,12:45:45 PM,A47,,,,grillades,,,,,,13:11,Homme,non,1à3,7.0,oui,non,oui,3.0,7.0,7.0,A48,A50,A49,,,,,,
97,12:46:04 PM,A54,,,,escalopedeporc,pommedeterre,,tartechocolat,,,,,,,,,,,,,,,,,,,,,,
98,12:46:47 PM,A24,,,,tartesaumon,pommedeterre,,tartechocolat,,,,,,,,,,,,,,,,,,,,,,
99,12:48:52 PM,A23,,,,grillades,,,,,,13:15,Femme,non,<1,7.0,oui,non,oui,8.0,8.0,9.0,,,,,,,,,
100,12:49:10 PM,A22,,,,escalopedeporc,pommedeterre,,yaourt,,,13:24,Homme,non,>3,3.0,oui,non,7,7.0,7.0,7.0,A17,A18,A19,A20,A21,A13,A14,A15,
101,12:49:36 PM,A19,,,,,,,yaourt,,,13:26,Homme,non,>3,4.0,oui,non,non,9.0,6.0,5.0,A22,A17,A21,A15,A18,A14,A16,A20,A13
102,12:49:45 PM,A17,,,,escalopedeporc,pommedeterre,,yaourt,,,13:23,Homme,non,>3,7.0,oui,non,oui,6.0,2.0,7.0,A22,A21,A19,A18,A14,A15,A16,A20,
103,12:50:24 PM,A21,,,,escalopedeporc,pommedeterre,poeleemeridionale,yaourt,yaourt,yaourt,13:26,Homme,non,>3,7.0,oui,non,oui,2.0,2.0,8.0,A14,A22,A19,A18,A15,A17,A20,A16,
104,12:50:48 PM,A18,,,,gnocchispestovege,pommedeterre,,tartechocolat,,,13:24,Homme,non,>3,9.0,oui,non,oui,7.0,4.0,7.0,A13,A14,A15,A16,A17,A19,A20,A21,
105,12:50:52 PM,A20,,,,escalopedeporc,pommedeterre,,,,,13:26,Homme,non,>3,4.0,oui,non,oui,7.0,7.0,8.0,A13,A14,A15,A16,A17,A18,A19,A21,A22
106,12:51:05 PM,A15,,,,gnocchispestovege,,,yaourt,,,13:26,Homme,non,>3,4.0,oui,oui,oui,7.0,3.0,6.0,A14,A16,A21,,,,,,
107,12:51:23 PM,A12,,,,gnocchispestovege,,,fruit,,,13:11,Homme,non,<1,7.0,non,oui,oui,7.0,3.0,4.0,,,,,,,,,
108,12:52:10 PM,A14,,,,escalopedeporc,pommedeterre,poeleemeridionale,yaourt,,,13:25,Homme,non,>3,8.0,oui,non,non,6.0,6.0,3.0,A16,A13,A18,A20,A17,A21,A22,,
