Numéro de formulaire;Genre;Age;Taille;Poids;IMC;Activité physique;Régime particulier;Végé;Fréquence CROUS;Equilibre alim;Seule ou en groupe;Nb groupe entrée;Proximité;Connaissance;Parti groupe;Influ sociale;Percept senso;Nb file;Faim;Stress;Nb convives;Ami 1;Ami 2;Ami 3;Ami 4;Ami 5;Ami 6;Ami 7;Ami 8;Ami 9;Ami 10;Ami 11;Ami 12;Ami 13;Ami 14;Ami 15;Ami 16;Ami 17;onehot_fruits;onehot_fromage;onehot_saladefeculents;onehot_crudites;onehot_charcuterie;onehot_viande;onehot_poisson;onehot_vege;onehot_yaourt;onehot_dessertgourmand;onehot_cremedessert;onehot_accompagnement
0I7G;1.0;21.0;1.78;63.0;20.0;2.0;0.0;0.0;1.0;2;1.0;3.0;1.0;1.0;1.0;0;0.0;1.0;0.0;0.0;5.0;3F4Z;4C0V;;;;;;;;;;;;;;;;0;1;0;0;0;0;0;1;0;0;1;1
0J8O;1.0;20.0;1.79;62.0;20.0;1.0;1.0;0.0;2.0;2;0.0;20.0;1.0;1.0;1.0;1;3.0;0.0;2.0;1.0;3.0;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;0;0;1;0
0M0L;1.0;21.0;1.75;62.0;20.0;2.0;0.0;0.0;1.0;2;1.0;3.0;1.0;1.0;1.0;0;1.0;0.0;2.0;0.0;3.0;5G9R;0E2X;;;;;;;;;;;;;;;;0;1;0;0;0;1;0;0;0;0;0;1
0N3Z;0.0;19.0;1.57;45.0;0.0;1.0;0.0;0.0;2.0;1;0.0;1.0;0.0;0.0;0.0;0;2.0;0.0;2.0;1.0;1.0;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;1;0;0;0;1
0N9G;1.0;21.0;1.75;60.0;20.0;2.0;1.0;1.0;2.0;2;0.0;4.0;0.0;0.0;0.0;0;3.0;0.0;3.0;3.0;3.0;;;;;;;;;;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;0
0N9P;1.0;20.0;1.89;70.0;20.0;3.0;0.0;0.0;2.0;1;1.0;2.0;1.0;1.0;1.0;0;3.0;0.0;2.0;0.0;2.0;9O9K;;;;;;;;;;;;;;;;;0;0;0;0;1;0;1;1;1;1;0;1
0O5Q;1.0;21.0;1.7;70.0;25.0;1.0;0.0;0.0;2.0;1;1.0;4.0;0.0;0.0;1.0;0;1.0;0.0;2.0;0.0;4.0;5B2Z;5I3E;9J6M;;;;;;;;;;;;;;;0;0;0;1;0;1;0;0;1;0;0;1
0P1I;1.0;25.0;1.78;74.0;25.0;1.0;0.0;0.0;2.0;1;0.0;2.0;1.0;1.0;1.0;0;0.0;0.0;3.0;3.0;2.0;6W4Y;;;;;;;;;;;;;;;;;1;0;0;1;0;0;1;0;0;0;0;1
0P1K;1.0;18.0;1.85;85.0;25.0;1.0;0.0;0.0;2.0;2;0.0;2.0;1.0;0.0;0.0;0;1.0;0.0;1.0;2.0;2.0;0P5K;;;;;;;;;;;;;;;;;0;0;0;0;0;1;0;0;0;0;1;1
0P5K;1.0;18.0;1.85;85.0;25.0;1.0;0.0;0.0;2.0;2;0.0;2.0;1.0;1.0;1.0;0;2.0;0.0;2.0;2.0;2.0;0P1K;;;;;;;;;;;;;;;;;1;0;0;0;0;1;0;0;1;0;0;1
0R4C;1.0;19.0;1.87;67.0;20.0;3.0;0.0;0.0;2.0;2;1.0;6.0;0.0;1.0;1.0;0;0.0;0.0;3.0;1.0;5.0;6O4Y;0S0Q;0A4U;2U4F;;;;;;;;;;;;;;0;0;0;1;0;1;0;0;1;0;0;1
0R4J;1.0;20.0;1.93;99.0;25.0;3.0;0.0;0.0;2.0;2;0.0;2.0;1.0;1.0;1.0;1;3.0;0.0;2.0;0.0;2.0;3W5V;;;;;;;;;;;;;;;;;1;0;0;0;0;0;1;0;0;1;0;1
0R4X;1.0;20.0;1.85;67.0;20.0;1.0;0.0;0.0;2.0;1;0.0;6.0;1.0;1.0;1.0;0;3.0;0.0;2.0;1.0;6.0;4A1V;6U3B;8B8H;2L2Z;8W4Q;;;;;;;;;;;;;0;0;0;1;0;1;0;0;0;0;0;1
0R7V;1.0;18.0;1.82;58.0;20.0;1.0;0.0;0.0;1.0;1;1.0;2.0;0.0;1.0;1.0;0;1.0;1.0;2.0;0.0;2.0;1Y1C;;;;;;;;;;;;;;;;;0;0;0;1;0;0;1;0;1;0;0;1
0S0Q;1.0;19.0;1.78;55.0;15.0;2.0;0.0;0.0;2.0;2;1.0;6.0;1.0;1.0;1.0;1;2.0;0.0;2.0;0.0;5.0;6O4Y;0A4U;0R4C;2U4F;;;;;;;;;;;;;;1;0;0;1;0;1;0;0;1;0;0;1
0S4Y;1.0;24.0;1.8;80.0;25.0;2.0;0.0;0.0;2.0;1;1.0;3.0;1.0;1.0;1.0;0;3.0;0.0;3.0;1.0;3.0;2T3H;8E1F;;;;;;;;;;;;;;;;0;1;0;0;0;1;0;0;0;1;0;1
0S7C;0.0;20.0;1.58;68.0;25.0;2.0;1.0;0.0;2.0;2;1.0;7.0;1.0;1.0;0.0;0;3.0;0.0;3.0;0.0;7.0;1N9S;3W3R;7F5N;1J4B;2G9N;2G0T;;;;;;;;;;;;0;1;0;0;1;0;1;0;0;0;0;1
0T3B;1.0;21.0;1.8;70.0;20.0;3.0;0.0;0.0;2.0;2;1.0;3.0;1.0;1.0;1.0;1;0.0;0.0;1.0;2.0;2.0;6F0E;;;;;;;;;;;;;;;;;1;0;0;0;1;1;0;0;1;0;0;1
0U8E;1.0;21.0;1.87;70.0;20.0;0.0;0.0;0.0;2.0;2;1.0;5.0;1.0;1.0;1.0;0;3.0;0.0;1.0;0.0;4.0;5Z4K;3U7V;7A0X;;;;;;;;;;;;;;;1;0;0;1;0;0;1;0;1;0;0;1
0X7C;1.0;21.0;1.8;72.0;20.0;1.0;0.0;0.0;1.0;1;1.0;12.0;1.0;1.0;1.0;3;2.0;0.0;2.0;0.0;6.0;3R3M;0O9T;3M6S;5A0R;2M6T;;;;;;;;;;;;;0;0;0;0;0;0;1;0;1;0;1;1
0Y1T;1.0;20.0;1.7;45.0;15.0;1.0;0.0;0.0;2.0;2;0.0;8.0;0.0;0.0;0.0;0;2.0;1.0;2.0;1.0;7.0;9S9J;6T3S;4M6N;5I5P;9B3F;4R6L;;;;;;;;;;;;1;0;0;0;0;1;0;0;0;0;0;1
0Y5X;1.0;21.0;1.83;75.0;20.0;3.0;0.0;0.0;2.0;2;1.0;10.0;1.0;1.0;1.0;0;3.0;0.0;1.0;0.0;7.0;4D2Y;3Y2G;6G4G;3K9G;6C3U;5F9Z;;;;;;;;;;;;0;0;1;0;0;1;0;0;0;1;0;1
1A9V;1.0;21.0;1.74;65.0;20.0;0.0;0.0;0.0;1.0;1;1.0;8.0;1.0;1.0;1.0;0;0.0;0.0;1.0;1.0;14.0;4O8C;1Y7U;2J2X;8Q9F;9X1Z;0H5L;1S8D;7N0N;3S5G;6A4U;4R8R;7R7Y;9C8Y;;;;;0;0;0;1;0;1;0;0;0;1;0;1
