,Numéro de formulaire,Genre,Age,Taille,Poids,IMC,Activité physique,Régime particulier,Végé,Fréquence CROUS,Equilibre alim,Seule ou en groupe,Nb groupe entrée,Proximité,Connaissance,Parti groupe,Influ sociale,Percept senso,Nb file,Faim,Stress,Nb convives,Ami 1,Ami 2,Ami 3,Ami 4,Ami 5,Ami 6,Ami 7,Ami 8,Ami 9,Ami 10,Ami 11,Ami 12,Ami 13,Ami 14,Ami 15,Ami 16,Ami 17,ENTREE_1,ENTREE_2,ENTREE_3,PLAT_1,PLAT_2,PLAT_3,DESSERT_1,DESSERT_2,DESSERT_3,Horodateur
33,A74,0.0,,,,,,1.0,,1.0,2,,,,1.0,,2,2.0,2.0,2.0,,,A75,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saladeriz,,,cabillaud,semoule,,moussechocolat,,,12:53
34,A59,,,,,,,1.0,,2.0,1,,,,0.0,,1,2.0,0.0,0.0,,,A59,C01,C02,A57,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,lasagnesvg,,,yaourt,,,12:38
35,A49,1.0,,,,,,0.0,,2.0,2,,,,0.0,,1,1.0,1.0,2.0,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,endives,,,lasagnesvg,,,yaourt,,,13:22
36,A73,1.0,,,,,,0.0,,1.0,3,,,,0.0,,1,1.0,0.0,2.0,,,B76,B74,B75,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,cabillaud,semoule,,fruit,,,13:04
37,A76,1.0,,,,,,1.0,,2.0,2,,,,0.0,,1,1.0,1.0,2.0,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,sardines,,,cabillaud,semoule,,moussechocolat,,,12:41
38,B28,1.0,,,,,,0.0,,2.0,1,,,,1.0,,1,1.0,2.0,2.0,,,B20,B16,B17,B27,B32,B18,B19,nan,,nan,nan,nan,nan,nan,nan,nan,nan,carottes,,,lasagnesvg,,,donut,,,12:53
39,B15,1.0,,,,,,0.0,,2.0,4,,,,1.0,,1,1.0,2.0,2.0,,,B11,B12,B13,B14,B63,B64,B65,nan,,nan,nan,nan,nan,nan,nan,nan,nan,carottes,,,lasagnesvg,,,fruit,,,12:58
40,B40,1.0,,,,,,1.0,,2.0,3,,,,0.0,,2,3.0,2.0,3.0,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,carottes,,,cabillaud,semoule,,donut,,,12:51
41,B12,0.0,,,,,,0.0,,2.0,4,,,,1.0,,1,3.0,2.0,3.0,,,B15,B12,B13,B14,B63,B64,B65,nan,,nan,nan,nan,nan,nan,nan,nan,nan,carottes,,,chipo,semoule,,yaourt,,,12:58
42,B18,1.0,,,,,,0.0,,2.0,3,,,,1.0,,2,2.0,0.0,2.0,,,B20,B17,B16,B27,B32,B28,B19,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,cabillaud,semoule,,fruit,,,12:53
43,B34,0.0,,,,,,0.0,,2.0,3,,,,1.0,,1,3.0,1.0,2.0,,,B33,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,carottes,,,chipo,semoule,,donut,,,13:11
44,B45,0.0,,,,,,0.0,,2.0,3,,,,1.0,,1,2.0,0.0,2.0,,,A51,B47,B48,B46,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saladeriz,,,chipo,semoule,,fruit,,,13:08
45,B50,1.0,,,,,,0.0,,,3,,,,0.0,,1,3.0,0.0,2.0,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saucisson,,,cabillaud,semoule,,yaourt,,,12:40
46,B51,1.0,,,,,,0.0,,1.0,3,,,,1.0,,1,3.0,0.0,3.0,,,B53,B54,B52,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,chipo,semoule,,donut,,,13:02
47,B53,1.0,,,,,,0.0,,2.0,3,,,,1.0,,1,0.0,0.0,2.0,,,B51,B52,B54,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saladesoja,,,lasagnesvg,,,donut,,,13:03
48,B56,1.0,,,,,,1.0,,2.0,3,,,,0.0,,1,3.0,1.0,1.0,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,lasagnesvg,,,chaource,,,12:59
49,A62,1.0,,,,,,0.0,,1.0,4,,,,0.0,,1,1.0,1.0,1.0,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saladeriz,,,cabillaud,semoule,,fruit,,,12:41
50,A80,1.0,,,,,,0.0,,2.0,3,,,,1.0,,1,1.0,0.0,1.0,,,A81,A78,A77,B01,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saucisson,,,lasagnesvg,,,moussechocolat,,,12:46
51,B81,1.0,,,,,,0.0,,2.0,3,,,,1.0,,1,0.0,0.0,1.0,,,B82,B83,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,chipo,semoule,,donut,,,13:15
52,A77,1.0,,,,,,0.0,,2.0,2,,,,1.0,,2,3.0,2.0,0.0,,,A82,A81,A80,A21,A22,A78,B01,A79,,nan,nan,nan,nan,nan,nan,nan,nan,,,,chipo,semoule,,chaource,,,12:46
53,B04,0.0,,,,,,0.0,,,3,,,,1.0,,2,3.0,2.0,2.0,,,B02,B03,B05,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saladesoja,,,chipo,semoule,,moussechocolat,,,12:45
54,A67,0.0,,,,,,0.0,,2.0,4,,,,1.0,,1,3.0,,2.0,,,A09,A10,A11,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,lasagnesvg,,,fruit,,,12:37
55,B02,0.0,,,,,,0.0,,,4,,,,1.0,,1,1.0,0.0,3.0,,,B03,B01,B05,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,carottes,,,chipo,semoule,,donut,,,12:45
56,B23,1.0,,,,,,1.0,,2.0,2,,,,0.0,,1,1.0,2.0,3.0,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,carottes,,,cabillaud,semoule,,fruit,,,12:39
57,B19,1.0,,,,,,1.0,,2.0,0,,,,1.0,,2,0.0,0.0,0.0,,,B20,B16,B17,B27,B32,B18,B28,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,lasagnesvg,,,fruit,,,12:53
58,B39,1.0,,,,,,0.0,,0.0,1,,,,,,1,2.0,0.0,2.0,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,lasagnesvg,,,fruit,,,13:24
59,B11,0.0,,,,,,0.0,,2.0,3,,,,1.0,,1,3.0,0.0,1.0,,,B15,B12,B14,B13,B64,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saladesoja,,,chipo,semoule,,fruit,,,12:48
60,B27,0.0,,,,,,0.0,,0.0,2,,,,1.0,,1,1.0,0.0,2.0,,,B17,B32,B18,B19,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,chipo,semoule,,fruit,,,12:54
61,B29,1.0,,,,,,0.0,,1.0,1,,,,1.0,,2,2.0,2.0,1.0,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,chipo,semoule,,moussechocolat,,,12:52
62,B54,,,,,,,1.0,,2.0,3,,,,0.0,,1,2.0,0.0,3.0,,,B51,B52,B53,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,chipo,semoule,,fruit,,,13:02
63,B31,1.0,,,,,,0.0,,1.0,3,,,,0.0,,1,3.0,1.0,1.0,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,burger,frites,,,,,13:00
64,B67,1.0,,,,,,0.0,,2.0,2,,,,0.0,,1,1.0,2.0,2.0,,,B68,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saladeriz,,,,,,,,,12:54
65,B75,1.0,,,,,,,,2.0,2,,,,1.0,,2,3.0,2.0,2.0,,,B73,B74,B76,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saladeriz,,,,,,,,,13:04
66,B74,1.0,,,,,,1.0,,2.0,4,,,,1.0,,1,0.0,1.0,3.0,,,B73,B76,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,endives,,,,,,,,,13:04
67,B80,1.0,,,,,,0.0,,1.0,3,,,,1.0,,1,2.0,2.0,3.0,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saucisson,,,chipo,semoule,,moussechocolat,,,13:11
68,B76,0.0,,,,,,1.0,,1.0,2,,,,1.0,,1,2.0,0.0,2.0,,,B73,B74,B75,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,saladeriz,,,lasagnesvg,,,fruit,,,13:04
69,B78,1.0,,,,,,1.0,,2.0,3,,,,0.0,,1,2.0,2.0,2.0,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,,,,cabillaud,semoule,,fruit,,,13:02
