Numero questionnaire;Plat 1;Plat 2;Plat 3;Hors etudiant;Autre Ã©ventuellement;Heure départ;Genre;Régime;Fréquentation;Faim;Connaissance entourage;Influence entourage;Influence aspect;Quantité;Equilibre;Aspect;Attente;Convives;;;;;;;
B11;Salade soja;Chipo semoule;fruit;;;12:48;Femme;non;>3;5;oui;non;oui;7;7;8;3;B15;B12;B14;B13;B64;;;
B27;;Chipo semoule;fruit;;;12:54;Femme;non;<1;7;oui;non;oui;7;6;5;2;B17;B32;B18;B19;;;;
B07;;;;Pizza;Frites salade;;;;;;;;;;;;;;;;;;;;
B09;Salade riz;;;;;;;;;;;;;;;;;;;;;;;;
A63;;;;;Burger frites;;;;;;;;;;;;;;;;;;;;
B29;;Chipo semoule;Mousse chocolat;;;12:52;Homme;non;>1;5;oui;oui;oui;3;4;6;7;NSPP;;;;;;;
A64;Salade riz;;Mousse chocolat;;Burger;;;;;;;;;;;;;;;;;;;;
A65;Salade riz;;Mousse chocolat;;Burger frites ;;;;;;;;;;;;;;;;;;;;
B44;;lasagnes vg;Mousse chocolat;;;;;;;;;;;;;;;;;;;;;;
B52;Saucisson;Chipo semoule;fruit;;;;;;;;;;;;;;;;;;;;;;
B57;Saucisson;Chipo semoule;Crème dessert;;;;;;;;;;;;;;;;;;;;;;
B54;;Chipo semoule;fruit;;;13:02;NB;oui;>3;10;non;non;non;10;7;6;0;B51;B52;B53;;;;;
B59;Sardines;Chipo semoule;Emmental;;;;;;;;;;;;;;;;;;;;;;
B58;Saucisson;;;;;;;;;;;;;;;;;;;;;;;;
B31;;;;;Burger frites;13:00;Homme;non;1à3;5;non;non;oui;7;8;8;4;;;;;;;;
B67;Salade riz;;;;;12:54;Homme;non;>3;7;non;non;oui;7;6;5;10;B68;;;;;;;
B69;Saucisson;Chipo semoule;Emmental;;;;;;;;;;;;;;;;;;;;;;
B75;Salade riz;;;;;13:04;Homme;NSPP;>3;7;oui;oui;oui;8;6;8;8;B73;B74;B76;;;;;
B74;Endives;;;;;13:04;Homme;oui;>3;8;oui;non;oui;8;10;3;6;B73;B76;;;;;;
B80;Saucisson;Chipo semoule;Mousse chocolat;;;13:11;Homme;non;1à3;8;oui;non;oui;3;8;6;7;NSPP;;;;;;;
B76;Salade riz;lasagnes vg;fruit;;;13:04;Femme;oui;1à3;6;oui;non;oui;3;6;6;1;B73;B74;B75;;;;;
B79;Carottes;lasagnes vg;fruit;;;;;;;;;;;;;;;;;;;;;;
B73;Endives;;;;;;;;;;;;;;;;;;;;;;;;
B78;;Cabillaud semoule;fruit;;;13:02;Homme;oui;>3;7;non;non;non;6;8;7;7;;;;;;;;
