N° Formulaire;Genre ;Âge;Taille (m);Poids (kg);IMC;Activité physique;Régime particulier;Végé;Fréquence CROUS ;Equilibre alim;Seule ou En groupe;Nb groupe entrée;Proximité;Connaissance;Parti groupe;Influ sociale;Percept senso;Nb file;Faim;Stress;Nb convives;Ami 1;Ami 2;Ami 3;Ami 4;Ami 5;;;;;;;;;;;;
7A0X;M;19;1,79;70;21,84700852;Modérée;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;5;Oui;Oui;Oui;Peu influencé;Très influencé;Non, je ne pense pas ;Oui, assez faim;Non;4;3U7V;0U8E;5Z4K;;;;;;;;;;;;;;
3U7V;M;20;1,76;60;19,36983471;Faible;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;5;Oui;Oui;Oui;Peu influencé;Peu influencé;Non, je ne pense pas ;Oui, assez faim;Non;4;7A0X;0U8E;5Z4K;;;;;;;;;;;;;;
3O2U;M;22;1,78;60;18,9370029;Modérée;Non;Non;Tous les jours ou presque ;Très attention;En groupe;2;Oui;Oui;Oui;Moyennement influencé;Très influencé;Non, pas trop;Oui, assez faim;Plutôt oui;2;3V4C;;;;;;;;;;;;;;;;
3V4C;F;22;1,66;55;19,95935549;Faible;Oui;Non;Tous les jours ou presque ;Très attention;En groupe;2;Oui;Oui;Oui;Très influencé;Très influencé;Plutôt oui;Oui, très faim;Plutôt non;2;3O2U;;;;;;;;;;;;;;;;
8G6G;M;23;1,81;80;24,41927902;Modérée;Oui;Non;Tous les jours ou presque ;Moyennement;En groupe;2;Non;Non;Non;Pas influencé;Très influencé;Non, je ne pense pas ;Oui, assez faim;Non;2;1U6R;;;;;;;;;;;;;;;;
4A4Z;M;21;1,86;75;21,6788068;Importante;Non;Non;Au moins une fois par semaine;Moyennement;En groupe;3;N.A;N.A;N.A;Pas influencé;Très influencé;Non, pas trop;Oui, très faim;Non;2;4D8M;;;;;;;;;;;;;;;;
4D8M;M;20;1,78;63;19,88385305;Importante;Non;N.A;Au moins une fois par semaine;Moyennement;En groupe;3;Oui;N.A;N.A;Pas influencé;Pas influencé;Plutôt oui;Oui, très faim;Plutôt non;2;4A4Z;;;;;;;;;;;;;;;;
5U3X;F;23;1,6;48;18,75;Modérée;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;2;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, je ne pense pas ;Oui, très faim;Plutôt non;2;4W4Q;;;;;;;;;;;;;;;;
8E1F;F;20;1,77;58;18,51319863;Modérée;Non;Oui;Tous les jours ou presque ;Moyennement;En groupe;3;Oui;Oui;Oui;Peu influencé;Très influencé;Plutôt oui;Oui, assez faim;Plutôt oui;3;2T3H;0S4Y;;;;;;;;;;;;;;;
0S4Y;M;24;1,8;80;24,69135802;Modérée;Non;Non;Tous les jours ou presque ;Un peu;En groupe;3;Oui;Oui;Oui;Pas influencé;Très influencé;Non, je ne pense pas ;Oui, très faim;Plutôt non;3;2T3H;8E1F;;;;;;;;;;;;;;;
8X6E;M;23;1,83;73;21,79820239;Importante;Non;Non;Au moins une fois par semaine;Un peu;Seule;1;Non;Non;Non;Pas influencé;Moyennement influencé;Non, pas trop;Oui, assez faim;Plutôt non;1;;;;;;;;;;;;;;;;;
1T2X;M;23;1,7;55;19,03114187;Faible;Non;Non;Au moins une fois par semaine;Moyennement;Seule;1;Oui;Oui;Non;Pas influencé;Moyennement influencé;Non, je ne pense pas ;Oui, très faim;Plutôt non;1;;;;;;;;;;;;;;;;;
9M5B;M;21;1,74;55;18,16620425;Faible;Non;Non;Au moins une fois par semaine;Pas du tout;En groupe;10;Oui;Oui;Oui;Peu influencé;Très influencé;Non, pas trop;Oui, mais très peu;Plutôt oui;10;3O6U;2R7A;4A7O;0F1W;9B5K;1R9D;1O2T;1W7I;5Q1R;;;;;;;;
1W7I;M;21;1,8;64;19,75308642;Faible;Non;Non;Tous les jours ou presque ;Un peu;En groupe;9;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, pas trop;Oui, très faim;Plutôt non;10;4A7O;0F1W;9B5K;1R9D;2R7A;1O2T;9M5B;3O6U;5Q1R;;;;;;;;
3O6U;F;21;1,75;70;22,85714286;Modérée;Non;Non;Au moins une fois par semaine;Pas du tout;En groupe;10;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, je ne pense pas ;Oui, assez faim;Plutôt non;10;4A7O;0F1W;9B5K;1R9D;2R7A;1O2T;9M5B;1W7I;5Q1R;;;;;;;;
4O8C;M;21;1,84;66;19,49432892;Faible;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;8;Oui;Oui;Oui;Pas influencé;Très influencé;Non, pas trop;Oui, assez faim;Non;14;1Y7U;2J2X;8Q9F;9X1Z;0H5L;1S8D;7N0N;3S5G;1A9V;6A4U;4R8R;9C8Y;7R7Y;;;;
1Y7U;F;20;1,58;52;20,82999519;Modérée;Oui;Non;Tous les jours ou presque ;Un peu;En groupe;8;Oui;Oui;Oui;Peu influencé;Très influencé;Non, je ne pense pas ;Oui, assez faim;Plutôt oui;14;4O8C;2J2X;8Q9F;9X1Z;0H5L;1S8D;7N0N;3S5G;1A9V;6A4U;4R8R;9C8Y;7R7Y;;;;
1S8D;M;21;1,69;55;19,25702882;Aucune;Non;Non;Tous les jours ou presque ;Un peu;En groupe;13;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, pas trop;Oui, très faim;Plutôt non;14;0H5L;9X1Z;8Q9F;4O8C;2J2X;1Y7U;1A9V;3S5G;7N0N;6A4U;4R8Q;7R7Y;9C8Y;;;;
0H5L;F;21;1,71;56;19,15119182;Modérée;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;4;Non;Non;Non;Pas influencé;Pas influencé;Non, pas trop;Oui, très faim;Plutôt oui;14;4O8C;1Y7U;2J2X;8Q9F;9X1Z;1S8D;7N0N;3S5G;1A9V;6A4U;4R8R;9C8Y;7R7Y;;;;
9X1Z;F;22;1,68;56;19,84126984;Modérée;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;16;Non;Non;Non;Pas influencé;Moyennement influencé;Non, pas trop;Oui, assez faim;Plutôt oui;14;4O8C;1Y7U;2J2X;8Q9F;0H5L;1S8D;7N0N;3S5G;1A9V;6A4U;4R8R;9C8Y;7R7Y;;;;
2J2X;F;20;1,53;50;21,35930625;Modérée;Non;Non;Au moins une fois par semaine;Moyennement;En groupe;6;Oui;Oui;Oui;Peu influencé;Très influencé;Non, pas trop;Oui, très faim;Plutôt oui;14;4O8C;1Y7U;8Q9F;9X1Z;0H5L;1S8D;7N0N;3S5G;1A9V;6A4U;4R8R;9C8Y;7R7Y;;;;
8Q9F;F;20;1,61;53;20,44674202;Aucune;Oui;Oui;Tous les jours ou presque ;Un peu;En groupe;13;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, pas trop;Oui, assez faim;Plutôt oui;14;4O8C;1Y7U;2J2X;9X1Z;0H5L;1S8D;7N0N;3S5G;1A9V;6A4U;4R8R;9C8Y;7R7Y;;;;
2W0S;M;21;1,81;79;24,11403803;Faible;Non;Non;Tous les jours ou presque ;Un peu;En groupe;2;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, je ne pense pas ;Oui, mais très peu;Non;2;7N2C;;;;;;;;;;;;;;;;
4U3U;M;23;1,78;71;22,40878677;Importante;Non;Non;Tous les jours ou presque ;Très attention;Seule;1;Oui;Non;Non;Pas influencé;Très influencé;Plutôt oui;Oui, assez faim;Non;1;;;;;;;;;;;;;;;;;
8G5E;M;20;1,7;59;20,41522491;Importante;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;2;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, pas trop;Oui, assez faim;Plutôt non;N.A;;;;;;;;;;;;;;;;;
3V0A;M;24;1,9;83;22,99168975;Modérée;Non;Non;Tous les jours ou presque ;Moyennement;Seule;1;Non;Non;Non;Pas influencé;Peu influencé;Non, je ne pense pas ;Oui, assez faim;Plutôt non;1;;;;;;;;;;;;;;;;;
6C3U;M;19;1,73;70;23,38868656;Modérée;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;7;Oui;Oui;Oui;Pas influencé;Très influencé;Non, je ne pense pas ;Oui, très faim;Plutôt non;7;3K9G;5F9Z;4D2Y;6G4G;0Y5X;3Y2G;;;;;;;;;;;
6G4G;M;19;1,7;67;23,183391;Modérée;Non;Non;Tous les jours ou presque ;Un peu;En groupe;7;Oui;Oui;Oui;Pas influencé;Très influencé;Non, je ne pense pas ;Oui, assez faim;Non;7;3K9G;4D2Y;6C3U;5F9Z;3Y2G;0Y5X;;;;;;;;;;;
5F9Z;M;21;1,88;65;18,39067451;Modérée;Oui;Non;Tous les jours ou presque ;Moyennement;En groupe;7;Oui;Oui;Oui;Pas influencé;Très influencé;Non, je ne pense pas ;Oui, très faim;Plutôt oui;7;6C3U;3K9G;6G4G;0Y5X;3Y2G;4D2Y;;;;;;;;;;;
