N° Formulaire;Genre ;Âge;Taille (m);Poids (kg);IMC;Activité physique;Régime particulier;Végé;Fréquence CROUS ;Equilibre alim;Seule ou En groupe;Nb groupe entrée;Proximité;Connaissance;Parti groupe;Influ sociale;Percept senso;Nb file;Faim;Stress;Nb convives;Ami 1;Ami 2;Ami 3;Ami 4;Ami 5;;;;;;;;;;;;
3V4C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3O2U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5Z4K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4U3U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7V3K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0U8E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5R7Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4O8C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Y7U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2J2X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7N0N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8Q9F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8G5E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1W3S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9C8Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1A9V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3S5G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4E9P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1W5H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0A5K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3V9C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1B0U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6T3K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8W1B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2Z9H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0O3R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3S3F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0T3B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8N8Q;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6F0E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0X6C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0N9P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5I5D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9O9K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0H2B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4S3S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4Z3U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3S3F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9G6O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3S8I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9V3F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7L8N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3E3Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1W7I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3I9X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9M5B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1R9D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3O6U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5Q1R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9J7R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0F1W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4A7O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5Q1R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9B5K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2R7A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6C05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7T4X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5Y3W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1J8K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3V6V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6T0P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OI6B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7P1T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5C9D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0G1P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8Z9E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9W3F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7X7O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3V0A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2W6P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1V8P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9Z3C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2W1Q;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3C4H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5C2M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5X3K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7B9M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7F0W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9I9S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3Y2G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4D2Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9R1R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4M4I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9I1E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8A1R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7Y2K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1F7A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5Q8S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3B1N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2E8R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8D7X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3U9V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8W0W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5J1R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2N5P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4D8M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1U6R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1Q9K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7A0X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0H5L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9X1Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2J2X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6A4U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1O0R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
