coeff_autre_moyenne,coeff_autre_sociale_et,coeff_amis_moyenne,coeff_amis_et,influence_sociale_moyenne,influence_sociale_et,influence_env_moyenne,influence_env_et,delta_moyenne,delat_et,choix_personnel_moyenne,choix_personnel_et,proba_depassement1point,proba_manque1point,proba_depassement2points,force_perception_plat,proba_autre_entree,proba_autre_dessert,proba_encore,temps_entre_groupes,seuil_influence_etudiant_queue,Charcuterie_correction,Crudites_correction,Entree_poisson_correction,Salade_feculents_correction,Viande___correction,Pizza_correction,Accompagnement___correction,Accompagnement_correction,Viande_correction,Poisson_correction,Vege_correction,Fruit_correction,Produit_laitier_correction,Creme_dessert_correction,Fruits_gourmands_correction,Dessert_gourmand_correction,Fromage_correction,fitness
0.0,0.5,0.8,0.7,0.8,0.7,0.1,0.1,0.1,0.7,0.3,0.1,0.0,0.3,0.0,1.3,0.6,0.3,0.8,55.0,9,-0.05,-0.1,0.15,0.25,0.55,-1.0,0.85,0.75,-0.95,-0.7,-0.35,0.4,-0.6,-1.0,0.65,-1.0,-0.4,345.0
0.5,1.0,0.4,0.0,0.1,0.6,0.5,0.3,0.9,0.2,0.5,0.6,0.5,0.9,0.0,1.0,1.0,1.0,0.8,21.0,6,-0.8,-0.55,0.45,0.05,0.35,-1.0,0.65,0.35,-0.15,0.15,0.5,0.15,0.45,-0.85,-0.5,0.15,-0.45,219.0
0.3,0.7,0.5,0.2,0.9,0.9,0.9,0.9,0.1,0.8,0.3,0.7,0.8,0.3,0.9,1.0,0.7,1.0,0.4,49.0,1,-0.35,0.65,-0.05,0.85,-0.6,1.0,-0.9,-0.85,-0.5,0.15,-0.8,0.1,0.5,-0.15,-0.75,-0.4,-0.15,329.0
0.4,0.3,0.9,0.7,0.6,0.8,0.3,0.1,0.8,0.5,0.6,0.0,0.3,0.4,0.4,0.0,0.1,0.6,0.8,30.0,3,-0.85,0.0,0.65,-0.75,0.5,0.4,0.5,-0.75,-0.35,0.5,-0.7,0.35,0.6,-0.15,-0.5,-0.5,-1.0,388.0
0.1,0.2,0.3,0.4,0.9,0.6,0.2,0.1,0.5,0.2,0.9,1.0,1.0,0.3,0.7,0.6,0.1,0.9,0.2,47.0,9,-0.2,0.45,0.4,-0.15,-0.4,-0.75,0.9,-0.35,0.35,-0.1,0.6,0.5,-0.6,0.9,0.85,0.55,0.15,375.0
0.2,0.8,0.6,0.2,0.6,0.8,0.8,0.4,0.6,0.0,0.5,0.5,0.3,0.2,0.7,2.5,0.3,0.5,0.2,35.0,1,0.95,0.75,0.05,-1.0,0.75,-0.8,-0.25,0.95,-0.2,-0.15,-0.05,0.65,-0.55,-0.15,-0.6,0.15,0.8,268.0
0.1,0.5,0.2,0.9,1.0,0.5,0.4,0.0,0.3,0.9,0.4,1.0,0.6,0.1,0.9,2.6,0.1,0.1,0.4,43.0,5,-0.9,-0.55,0.65,0.8,0.65,-0.05,-0.65,0.15,-0.95,-0.25,-0.35,-0.9,-0.85,0.95,-0.1,0.0,0.35,309.0
0.5,0.5,0.4,0.4,0.7,0.2,0.5,0.4,0.5,0.5,0.5,0.6,0.8,0.9,1.0,1.3,0.4,0.5,0.9,22.0,1,0.1,-0.35,0.9,-0.35,-0.05,0.1,0.2,-0.35,0.9,-0.7,-0.55,-0.8,0.45,-0.55,-0.5,0.6,0.15,220.0
0.3,0.2,1.0,0.4,0.0,0.4,0.3,0.6,0.9,0.0,1.0,0.5,0.2,0.2,0.1,2.2,0.9,0.0,0.6,19.0,9,0.65,0.5,0.25,-0.15,0.75,-1.0,-0.55,-0.35,-1.0,-0.05,-0.1,-0.35,-0.45,0.55,0.4,0.75,-0.85,401.0
0.7,0.5,0.5,0.9,0.1,0.1,0.0,0.1,0.4,0.3,0.1,0.7,0.3,0.5,0.1,2.9,0.4,0.7,0.0,20.0,9,-0.65,0.75,0.9,-0.2,0.7,0.8,0.4,0.9,-0.35,0.75,-0.85,0.45,0.45,-0.95,-0.05,-0.2,-0.3,318.0
0.2,0.5,0.7,0.3,1.0,0.8,0.1,1.0,0.0,0.4,0.9,0.2,0.9,0.5,0.9,2.6,0.4,0.7,0.4,40.0,8,0.85,-0.05,-0.1,0.85,0.5,0.25,-0.95,-0.6,0.75,-0.45,0.25,0.3,-0.45,-0.55,-0.35,0.9,-0.95,302.0
