N° Formulaire;Genre;Âge;Taille (m);Poids (kg);IMC;Activité physique;Régime particulier;Végé;Fréquence CROUS;Equilibre alim;Seule ou en groupe;Nb groupe entrée;Proximité;Connaissance;Parti groupe;Influ sociale;Percept senso;Nb file;Faim;Stress;Nb convives;Ami 1;Ami 2;Ami 3;Ami 4;Ami 5
4Q1C;M;21;1,8;70;21,60493827;Faible;Non;Non;Tous les jours ou presque ;Un peu;En groupe;3;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Plutôt oui;Oui, très faim;Plutôt non;3;2A7F;6J0A;;;
6J0A;M;19;1,8;64;19,75308642;Importante;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;3;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, pas trop;Oui, très faim;Plutôt non;3;2A7F;4Q1C;;;
8J2L;F;20;1,61;59;22,76146754;Modérée;Non;Non;Au moins 1 fois par semaine;Très attention;En groupe;4;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, pas trop;Oui, assez faim;Non;6;5W6M;1L4G;9K2W;1M2Q;2S4Q
1L4G;F;21;1,63;55;20,70081674;Faible;Non;Non;Tous les jours ou presque ;Un peu;En groupe;2;Oui;Oui;Oui;Peu influencé;Moyennement influencé;Non, je ne pense pas;Oui, assez faim;Non;6;5W6M;8J2L;2S4Q;1M2Q;9K2W
1M2Q;M;21;1,69;55;19,25702882;Aucune;Non;Non;Tous les jours ou presque ;Un peu;En groupe;8;Oui;Oui;Oui;Moyennement influencé;Peu influencé;Plutôt oui;Oui, très faim;Non;6;5W6M;1L4G;9K2W;2S4Q;8J2L
1I1F;F;20;1,58;52;20,82999519;Modérée;Oui;Non;Tous les jours ou presque ;Un peu;En groupe;2;Oui;Oui;Oui;Très influencé;Très influencé;Non, pas trop;Oui, très faim;Plutôt non;2;3L2B;;;;
3L2B;F;22;1,68;58;20,54988662;Modérée;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;2;Oui;Oui;Oui;Peu influencé;Moyennement influencé;Non, pas trop;Oui, assez faim;Plutôt non;2;1I1F;;;;
5W6M;M;21;1,84;66;19,49432892;Faible;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;5;Oui;Oui;Oui;Très influencé;Très influencé;Non, je ne pense pas;Oui, très faim;Non;6;8J2L;1L4G;9K2W;1M2Q;2S4Q
2S4Q;M;22;1,75;58;18,93877551;Modérée;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;10;Oui;Oui;Oui;Très influencé;Très influencé;Oui, tout à fait ;Oui, assez faim;Plutôt non;6;1M2Q;9K2W;1L4G;5W6M;8J2L
0W3D;F;24;1,67;62;22,23098713;Modérée;Oui;Oui;Je viens pour la première fois;Un peu;En groupe;1;Oui;Oui;Non;Peu influencé;Peu influencé;Plutôt oui;Oui, mais très peu;Oui, très;1;;;;;
2R9X;M;20;1,87;75;21,44756785;Modérée;Non;Oui;Au moins 1 fois par semaine;Moyennement;En groupe;;Non;Non;Non;Pas influencé;Moyennement influencé;Non, je ne pense pas;Oui, assez faim;Plutôt non;3;2Z9A;1U7O;;;
1U7O;M;20;1,74;57;18,8267935;Modérée;Non;Non;Au moins 1 fois par semaine;Moyennement;En groupe;10;Oui;Non;Non;Peu influencé;Moyennement influencé;Plutôt oui;Oui, très faim;Plutôt oui;3;2Z9A;2R9X;;;
2Z9A;M;19;1,82;70;21,13271344;Importante;Non;Non;Au moins 1 fois par semaine;Moyennement;En groupe;10;Oui;Oui;Oui;Peu influencé;Moyennement influencé;Non, pas trop;Oui, très faim;Non;3;2R9X;1U7O;;;
6S8Q;F;21;1,75;60;19,59183673;Modérée;Non;Non;Tous les jours ou presque ;Très attention;En groupe;2;Non;Non;Non;Pas influencé;Très influencé;Non, je ne pense pas;Oui, très faim;Non;;;;;;
7B7K;F;25;1,54;75;31,62421994;Faible;Non;Non;Tous les jours ou presque ;Moyennement;En groupe;2;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, je ne pense pas;Oui, assez faim;Plutôt non;2;6X9F;;;;
6X9F;M;28;1,75;75;24,48979592;Faible;Non;Non;Tous les jours ou presque ;Très attention;En groupe;2;Non;Non;Non;Peu influencé;Très influencé;Non, pas trop;Oui, assez faim;Plutôt oui;2;7B7K;;;;
9B8H;M;20;1,8;80;24,69135802;Modérée;Non;Non;Tous les jours ou presque ;Très attention;En groupe;2;Oui;Oui;Oui;Pas influencé;Moyennement influencé;Non, pas trop;Non;Non;;;;;;
